Hate_Speech,TARGET,dialoGPT,BART,BERT,T5,gpt2,dialoGPT_deco,gpt2_deco,BERT_deco,BART_deco,T5_deco,gpt2_suitable,gpt2_specific,gpt2_grammar,gpt2_choose_or_not,gpt2_is_best,T5_suitable,T5_specific,T5_grammar,T5_choose_or_not,T5_is_best,BART_suitable,BART_specific,BART_grammar,BART_choose_or_not,BART_is_best,dialoGPT_suitable,dialoGPT_specific,dialoGPT_grammar,dialoGPT_choose_or_not,dialoGPT_is_best,BERT_suitable,BERT_specific,BERT_grammar,BERT_choose_or_not,BERT_is_best,Annotator
A woman should not be allowed to have an abortion. The man should decide for her.,WOMEN,"If the woman wants to have an abortion, she can choose for herself, not for an abortable one that she must undergo: the abortion is not a choice, it is an obligation, not a protection.","Women have the right to have an abortion, and if they want to, they should be allowed to have it.","women should be allowed to choose their own partner, regardless of their sexual orientation. if they want to live their life as they want, then they should not have the right to choose who they want as they wish.","This is not true, because the man shouldn't have the option to choose for her. If a woman wishes to have an abortion, then he should be given the right to choose.","Women should have access regardless of their sexual orientation. Therefore, if a man or woman wants to have an abortion, then they are free to do it as they wish.",tk,tk,kp,tk,kp,2,2,4,1,0,3,3,4,1,0,5,3,5,1,1,3,3,4,1,0,2,2,3,0,0,one
A woman should not be allowed to have an abortion. The man should decide for her.,WOMEN,"If the woman wants to have an abortion, she can choose for herself, not for an abortable one that she must undergo: the abortion is not a choice, it is an obligation, not a protection.","Women have the right to have an abortion, and if they want to, they should be allowed to have it.","women should be allowed to choose their own partner, regardless of their sexual orientation. if they want to live their life as they want, then they should not have the right to choose who they want as they wish.","This is not true, because the man shouldn't have the option to choose for her. If a woman wishes to have an abortion, then he should be given the right to choose.","Women should have access regardless of their sexual orientation. Therefore, if a man or woman wants to have an abortion, then they are free to do it as they wish.",tk,tk,kp,tk,kp,3,4,5,1,0,5,5,3,1,0,5,4,5,1,1,2,2,4,0,0,1,1,1,0,0,two
Feminists are just a bunch of bitchy cuntwits who should be shamed for the stupidity of their beliefs.,WOMEN,"If you want to make it clear that you are criticising someone for their beliefs, then use the word feminists. Feminisation is a movement for equality of the sexes, in which women are oppressed to a considerable extent.",Feminism is a movement for equality and justice. Feminists are not a bunch of bitchy cuntwits who should be shamed for the stupidity of their beliefs.,"feminism is about equality, not hate. it is about the equality of all people to be treated as equal. do you have any evidence for that? i don't see any evidence to suggest that this is a myth.","This idea that there are so many different views is just silly. The feminism movement is founded on the idea that all women should be equal, and that every woman is entitled to equal rights.","Feminists are not the same as the misogynist ones, and this means that there is no need to ban those who are feminist from all walks of life.",tk,tk,tk,tk,kp,2,2,5,0,0,2,3,5,1,0,4,3,5,1,1,3,3,4,1,0,4,3,4,1,0,one
Feminists are just a bunch of bitchy cuntwits who should be shamed for the stupidity of their beliefs.,WOMEN,"If you want to make it clear that you are criticising someone for their beliefs, then use the word feminists. Feminisation is a movement for equality of the sexes, in which women are oppressed to a considerable extent.",Feminism is a movement for equality and justice. Feminists are not a bunch of bitchy cuntwits who should be shamed for the stupidity of their beliefs.,"feminism is about equality, not hate. it is about the equality of all people to be treated as equal. do you have any evidence for that? i don't see any evidence to suggest that this is a myth.","This idea that there are so many different views is just silly. The feminism movement is founded on the idea that all women should be equal, and that every woman is entitled to equal rights.","Feminists are not the same as the misogynist ones, and this means that there is no need to ban those who are feminist from all walks of life.",tk,tk,tk,tk,kp,1,2,4,0,0,2,5,5,0,0,4,4,5,1,1,4,4,4,1,0,2,2,4,0,0,two
"Women are subhuman, they should go back to their lower birth place, that is all.",WOMEN,"Women are human beings with full human rights, and we should treat them as such.","Women are human beings with full human rights, and they deserve respect.","women are human beings with full human rights, and they deserve respect. why shouldn't they be treated as such as they are?","Women are human beings, and they have the right to be treated as such.",Women are human beings with full human rights and the right to be treated as such.,bs,bs,tp,bs,bs,5,2,5,1,1,5,2,5,1,0,5,2,5,1,0,5,2,5,1,0,5,2,4,1,0,one
"Women are subhuman, they should go back to their lower birth place, that is all.",WOMEN,"Women are human beings with full human rights, and we should treat them as such.","Women are human beings with full human rights, and they deserve respect.","women are human beings with full human rights, and they deserve respect. why shouldn't they be treated as such as they are?","Women are human beings, and they have the right to be treated as such.",Women are human beings with full human rights and the right to be treated as such.,bs,bs,tp,bs,bs,5,3,5,1,0,5,2,5,1,0,5,2,5,1,0,4,2,5,1,0,5,3,5,1,1,two
Women don't have the same rights as men.,WOMEN,"The right of women to choose for their family, and the right to live their life as they wish, are protected by the constitution.","Women are human beings with full human rights, and they should have the same rights as men.","women are human beings with human rights, and they deserve respect. they are human rights and should be respected as they are, regardless of their sexual orientation, and that's the right of human rights.","Women have the same rights, no matter their sexual orientation. They are entitled to have the same rights as men.","That's not true, in the main the feminists fight for the rights of all. That's why they have the power.",kp,tp,tp,tk,kp,2,3,5,1,0,2,2,5,1,0,5,2,5,1,0,5,4,5,1,1,2,1,2,0,0,one
Women don't have the same rights as men.,WOMEN,"The right of women to choose for their family, and the right to live their life as they wish, are protected by the constitution.","Women are human beings with full human rights, and they should have the same rights as men.","women are human beings with human rights, and they deserve respect. they are human rights and should be respected as they are, regardless of their sexual orientation, and that's the right of human rights.","Women have the same rights, no matter their sexual orientation. They are entitled to have the same rights as men.","That's not true, in the main the feminists fight for the rights of all. That's why they have the power.",kp,tp,tp,tk,kp,2,2,2,0,0,3,3,5,1,0,5,2,5,1,1,4,4,5,1,0,4,4,3,1,0,two
Women are basically childlike and must be oppressed by men.,WOMEN,"Women do not have to be childlike, you cannot understand that they are humans.","Women are human beings with full human rights, and they should not be oppressed by men.","women are human beings with human rights, and they deserve respect and respect. why should they be treated as such because they are different from men?","Women are human beings and cannot be oppressed by men. We should understand that they are not childlike or childlike and can be a part of society, and we need to make sure we protect them.","Well, according to the Bible, women are human and are part of our society. Therefore they are humans with equal rights and responsibilities.",tp,kp,tp,tk,kp,5,3,5,1,0,4,2,4,1,0,5,2,5,1,1,2,2,5,1,0,3,2,4,1,0,one
Women are basically childlike and must be oppressed by men.,WOMEN,"Women do not have to be childlike, you cannot understand that they are humans.","Women are human beings with full human rights, and they should not be oppressed by men.","women are human beings with human rights, and they deserve respect and respect. why should they be treated as such because they are different from men?","Women are human beings and cannot be oppressed by men. We should understand that they are not childlike or childlike and can be a part of society, and we need to make sure we protect them.","Well, according to the Bible, women are human and are part of our society. Therefore they are humans with equal rights and responsibilities.",tp,kp,tp,tk,kp,3,3,5,1,0,5,5,4,1,1,5,4,5,1,0,2,3,5,0,0,2,3,2,0,0,two
"LGBTI people are disgusting, they have no morals.",LGBT+,I don't think I have ever seen anyone claim that the LGBTI community has no moral compass. Don't you agree?,I don't think it is right to judge someone based on their sexual orientation.,"i don't think it would be appropriate to say that homosexuality is a sexual preference, but it is not a choice. it is just a myth that all people are discriminated on the basis of their sexual orientation.","I think it is more appropriate to consider a gay person as a human being instead of someone just based on their sexual orientation, not on their gender.",I don't think it is a good idea to generalize about a group based on their sexual orientation.,tk,bs,tk,tp,kp,5,3,5,1,1,4,3,5,1,0,5,3,5,1,0,4,3,5,1,0,2,2,5,1,0,one
"LGBTI people are disgusting, they have no morals.",LGBT+,I don't think I have ever seen anyone claim that the LGBTI community has no moral compass. Don't you agree?,I don't think it is right to judge someone based on their sexual orientation.,"i don't think it would be appropriate to say that homosexuality is a sexual preference, but it is not a choice. it is just a myth that all people are discriminated on the basis of their sexual orientation.","I think it is more appropriate to consider a gay person as a human being instead of someone just based on their sexual orientation, not on their gender.",I don't think it is a good idea to generalize about a group based on their sexual orientation.,tk,bs,tk,tp,kp,5,2,5,1,1,2,2,5,0,0,4,2,5,1,0,3,3,5,1,0,1,3,5,0,0,two
A person's religion doesn't matter to me. I am only interested in sex. The only possible sexual act is between a male and a female.,LGBT+,"A person's religion does not matter to them, but that doesn't mean that they can't have a different sexual orientation. And I'm not sure about their relationship to the world.","Sex is a human right, and it should be respected.","women should be allowed to choose their own partner, regardless of their sexual orientation. what do you mean by'love'to be'extremist'is just a misogynistic term used to describe misinterpretation of the concept of love and love '?","Considering a country's religious beliefs, the concept of'sexuality' is not about an individual's religion, is it about the relationship between a person's religion and their wife?","Women can also be promiscuous, since sex is a part of their lives. For all that you say, this doesn't seem like a case of your reasoning. But I wonder how you would feel if your partner's religion did not matter to you?",tp,tp,tk,tk,tk,2,3,5,1,0,2,2,4,0,0,3,1,5,1,1,2,3,5,1,0,2,3,3,1,0,one
A person's religion doesn't matter to me. I am only interested in sex. The only possible sexual act is between a male and a female.,LGBT+,"A person's religion does not matter to them, but that doesn't mean that they can't have a different sexual orientation. And I'm not sure about their relationship to the world.","Sex is a human right, and it should be respected.","women should be allowed to choose their own partner, regardless of their sexual orientation. what do you mean by'love'to be'extremist'is just a misogynistic term used to describe misinterpretation of the concept of love and love '?","Considering a country's religious beliefs, the concept of'sexuality' is not about an individual's religion, is it about the relationship between a person's religion and their wife?","Women can also be promiscuous, since sex is a part of their lives. For all that you say, this doesn't seem like a case of your reasoning. But I wonder how you would feel if your partner's religion did not matter to you?",tp,tp,tk,tk,tk,1,2,4,0,0,1,2,4,0,0,3,2,5,1,1,1,2,5,0,0,2,4,3,0,0,two
I don't like gays and I think they are subhumans.,LGBT+,Just because someone does not like gays doesn't mean they are subhumans. There are so many gay people in the world. I think you have a very different definition of what we are supposed to look like.,Gay people are not subhumans. They are human beings with full human rights.,"it is not true that gay people are incompatible with our society. they are just as human beings as anyone else. to suggest that they are different from us is just wrong, but it's not true.",I don't think that it is right to think that a group of people with different sexual orientations is a subhuman.,"No, they are not. Why should you?",tk,tk,kp,tp,tp,3,2,5,1,0,5,3,5,1,1,5,2,5,1,0,2,2,5,1,0,3,2,4,1,0,one
I don't like gays and I think they are subhumans.,LGBT+,Just because someone does not like gays doesn't mean they are subhumans. There are so many gay people in the world. I think you have a very different definition of what we are supposed to look like.,Gay people are not subhumans. They are human beings with full human rights.,"it is not true that gay people are incompatible with our society. they are just as human beings as anyone else. to suggest that they are different from us is just wrong, but it's not true.",I don't think that it is right to think that a group of people with different sexual orientations is a subhuman.,"No, they are not. Why should you?",tk,tk,kp,tp,tp,3,1,5,0,0,5,3,5,1,0,5,2,5,1,0,5,4,5,1,1,4,5,4,1,0,two
"I do not like gay actors, especially in action movies. There should be a restriction on them.",LGBT+,People who are attracted to people of the same sex should be allowed to act or be involved in films. This is not a problem for gay people.,"I don't think it is a problem to restrict gay actors, especially in action movies. Why should it be a problem?","it is not true that homosexuality is a problem in our society. it is important to understand that gay people are not a threat to the society's society. they are just trying to live their lives as they wish, and that's what you are talking about, but that doesn't mean that they should be allowed to live in the same way as anyone else.","I don't think it is appropriate for all gay actors to be allowed to be filmed, because it is very often the case that gay actors are allowed to be cast in different roles.","How about you suggest some examples from the last 20 years or so to be considered, and explain how it is not harmful to actors or the industry?",kp,kp,tp,tp,kp,2,3,5,0,0,2,3,5,0,0,2,3,5,0,0,5,3,5,1,1,2,2,4,1,0,one
"I do not like gay actors, especially in action movies. There should be a restriction on them.",LGBT+,People who are attracted to people of the same sex should be allowed to act or be involved in films. This is not a problem for gay people.,"I don't think it is a problem to restrict gay actors, especially in action movies. Why should it be a problem?","it is not true that homosexuality is a problem in our society. it is important to understand that gay people are not a threat to the society's society. they are just trying to live their lives as they wish, and that's what you are talking about, but that doesn't mean that they should be allowed to live in the same way as anyone else.","I don't think it is appropriate for all gay actors to be allowed to be filmed, because it is very often the case that gay actors are allowed to be cast in different roles.","How about you suggest some examples from the last 20 years or so to be considered, and explain how it is not harmful to actors or the industry?",kp,kp,tp,tp,kp,2,4,5,1,0,2,2,5,0,0,5,3,5,1,1,4,3,5,1,0,1,2,2,0,0,two
Ellen DeGeneres Show is TheGenDer ideology on TV.,LGBT+,"No, it isn't. But if you say so, it must be true.","TheEllen DeGeneres Show is a great example of what it means to be a ""genius"" and not a 'genius' on TV.",i don't see how it would be like a woman's life. you can't blame someone for their own opinions.,I don't see why you think it's a show about the 'gendered' people'?,I don't think it is a good idea to talk about an ideology of hate.,tk,kp,tk,tp,tp,2,2,5,1,0,2,2,5,0,0,2,3,5,1,1,2,1,5,0,0,2,1,5,0,0,one
Ellen DeGeneres Show is TheGenDer ideology on TV.,LGBT+,"No, it isn't. But if you say so, it must be true.","TheEllen DeGeneres Show is a great example of what it means to be a ""genius"" and not a 'genius' on TV.",i don't see how it would be like a woman's life. you can't blame someone for their own opinions.,I don't see why you think it's a show about the 'gendered' people'?,I don't think it is a good idea to talk about an ideology of hate.,tk,kp,tk,tp,tp,2,1,5,0,0,5,4,5,1,1,5,5,4,1,0,3,1,5,0,0,1,2,5,0,0,two
Gay men have autism.,LGBT+,"There is no evidence that homosexuality is a mental disorder, nor that being gay is related to autism. Do you have any?","Autism is a developmental disorder, not a genetic one. It is not related to sexual orientation.","i don't think it is true that homosexuality is a disease, but it's not a disease. maybe you should try to understand some of the similarities between homosexuality and homosexuality, because there is no evidence that it doesn't matter whether they are gay or not not, regardless of their sexual orientation.",The autism spectrum disorder is not related to the sexual orientation. So a person's sexual orientation is often accompanied by the presence of a traumatic event.,"Homosexuality is not related to mental illness or autism. It is a sexual orientation that can be healthy and normal. If you want to find out more, you can visit a sexual orientation orientation guide to learn more about who it can help you to love.",bs,tp,kp,kp,kp,5,3,4,1,0,2,4,5,1,0,3,3,5,1,0,5,3,5,1,1,2,2,3,1,0,one
Gay men have autism.,LGBT+,"There is no evidence that homosexuality is a mental disorder, nor that being gay is related to autism. Do you have any?","Autism is a developmental disorder, not a genetic one. It is not related to sexual orientation.","i don't think it is true that homosexuality is a disease, but it's not a disease. maybe you should try to understand some of the similarities between homosexuality and homosexuality, because there is no evidence that it doesn't matter whether they are gay or not not, regardless of their sexual orientation.",The autism spectrum disorder is not related to the sexual orientation. So a person's sexual orientation is often accompanied by the presence of a traumatic event.,"Homosexuality is not related to mental illness or autism. It is a sexual orientation that can be healthy and normal. If you want to find out more, you can visit a sexual orientation orientation guide to learn more about who it can help you to love.",bs,tp,kp,kp,kp,4,5,4,1,0,3,4,5,1,0,2,3,5,0,0,5,4,5,1,1,1,3,2,0,0,two
Gays are just a bunch of disgusting pricks that shouldn't be allowed to love one another.,LGBT+,"You can't blame people for choosing what to do with their own life. Homosexuality is an essential component of life for many, and should be protected.","Love is a human right, and there is no reason to hate someone for who they are.","i don't think it is right to say that gays are not incompatible with our society. they are just trying to live their life as they wish, and they deserve to be accepted as anyone else.","You have the right to love and be accepted as you please. We should not discriminate based on sexual orientation, and not on the ability of people to commit acts of homosexuality.",Because they are. They are human people like everyone else. We have the right to love who we want and do just as we like.,tk,tk,tk,kp,kp,3,3,5,1,0,2,3,5,1,0,4,3,5,1,0,4,3,5,1,1,2,3,5,1,0,one
Gays are just a bunch of disgusting pricks that shouldn't be allowed to love one another.,LGBT+,"You can't blame people for choosing what to do with their own life. Homosexuality is an essential component of life for many, and should be protected.","Love is a human right, and there is no reason to hate someone for who they are.","i don't think it is right to say that gays are not incompatible with our society. they are just trying to live their life as they wish, and they deserve to be accepted as anyone else.","You have the right to love and be accepted as you please. We should not discriminate based on sexual orientation, and not on the ability of people to commit acts of homosexuality.",Because they are. They are human people like everyone else. We have the right to love who we want and do just as we like.,tk,tk,tk,kp,kp,3,4,5,1,0,4,4,4,1,0,5,4,5,1,0,5,5,5,1,1,2,4,4,0,0,two
Sexual deviancy: this is what they choose. LGBT are a scourge to society.,LGBT+,"Homosexuality is not a disease. Homosexuality is not a disease, but rather a sexual preference that can be changed by the individual.","This is not true. Homosexuality is not a disease, it is just a sexual preference.","homosexuality is not a disease, it is just a sexual preference. it is about love and respect for others, not on the basis of their sexual orientation.","The LGBT community has always been supportive of each other and the LGBT community is not a burden to society, but rather a human right to be respected, protected and respected.","Sexual deviancy is not a disease, it is a mental disorder. To suggest otherwise is just scaremongering.",kp,bs,tk,kp,kp,2,2,5,0,0,3,2,4,1,1,3,2,5,1,0,2,2,4,1,0,3,2,4,1,0,one
Sexual deviancy: this is what they choose. LGBT are a scourge to society.,LGBT+,"Homosexuality is not a disease. Homosexuality is not a disease, but rather a sexual preference that can be changed by the individual.","This is not true. Homosexuality is not a disease, it is just a sexual preference.","homosexuality is not a disease, it is just a sexual preference. it is about love and respect for others, not on the basis of their sexual orientation.","The LGBT community has always been supportive of each other and the LGBT community is not a burden to society, but rather a human right to be respected, protected and respected.","Sexual deviancy is not a disease, it is a mental disorder. To suggest otherwise is just scaremongering.",kp,bs,tk,kp,kp,2,3,5,0,0,3,3,5,1,0,5,3,5,1,1,2,2,4,0,0,4,3,4,1,0,two
Gays are sick. We must not accept them.,LGBT+,"I don't think that homosexuality is a health problem, I think it is an individual's right to live their life as they wish.","Homosexuality is not a disease, it is just a sexual preference. We should accept people of different sexual orientations.","this is not true. homosexuality is a disease, it is not a disease. it is just a disease that has nothing to do with homosexuality. how can you say that gays are a disease? maybe you should try to understand why they are trying to live their lives as they want to live in a better society?",It is not true that all homosexuals are sick. We must accept that some homosexuals are sick.,"Gay people are not sick, they are just living their love and they are welcome here.",bs,tp,tk,bs,tp,5,2,5,1,0,1,2,5,1,0,5,3,5,1,0,5,3,5,1,1,2,2,2,0,0,one
Gays are sick. We must not accept them.,LGBT+,"I don't think that homosexuality is a health problem, I think it is an individual's right to live their life as they wish.","Homosexuality is not a disease, it is just a sexual preference. We should accept people of different sexual orientations.","this is not true. homosexuality is a disease, it is not a disease. it is just a disease that has nothing to do with homosexuality. how can you say that gays are a disease? maybe you should try to understand why they are trying to live their lives as they want to live in a better society?",It is not true that all homosexuals are sick. We must accept that some homosexuals are sick.,"Gay people are not sick, they are just living their love and they are welcome here.",bs,tp,tk,bs,tp,4,3,5,1,0,2,2,5,0,0,5,3,5,1,0,5,3,5,1,1,2,2,2,0,0,two
Faggots are not welcome here.,LGBT+,"They are welcome to come and live here if they want to. But as you say, they can be a burden to us.",This is not true. Homosexuals are welcome here. They are just as welcome as anyone else.,i don't think it is right to be gay in a country where people are not welcome in our country. maybe you should try to try to understand the difference between people's sexual orientation and their sexual orientation.,I don't see how you can say that a gay person is not welcome in our country.,"This is not true. LGBT+ people are welcome in our country. They are our brothers and sisters, and we should be proud of who they are.",tp,bs,tp,tk,bs,5,3,5,1,1,5,2,5,1,0,5,2,5,1,0,1,2,5,1,0,3,2,3,0,0,one
Faggots are not welcome here.,LGBT+,"They are welcome to come and live here if they want to. But as you say, they can be a burden to us.",This is not true. Homosexuals are welcome here. They are just as welcome as anyone else.,i don't think it is right to be gay in a country where people are not welcome in our country. maybe you should try to try to understand the difference between people's sexual orientation and their sexual orientation.,I don't see how you can say that a gay person is not welcome in our country.,"This is not true. LGBT+ people are welcome in our country. They are our brothers and sisters, and we should be proud of who they are.",tp,bs,tp,tk,bs,4,3,5,1,0,4,3,5,0,0,5,3,5,1,1,1,3,5,0,0,1,2,1,0,0,two
Gays in the closet are a problem.,LGBT+,"They exist, but they are a small minority in many communities. Gay people are not a problem in the majority of the world, nor are they a problem in the closet.",I don't think it is a problem to have gay people in the closet. They are not a problem in my opinion.,"i don't see how you can say that gays are a problem in our society. what is the point of being gay is that you can't be gay, but it's not the case. why do you think it is a problem to be'gay '?","The idea of homosexuality in the closet is not a problem, it is a problem if you don't like other people.",I do not see how being 'in the closet' can have any negative effect on the quality of life for homosexuals.,tp,tk,kp,kp,tk,2,3,5,1,0,5,3,5,1,1,5,2,5,1,0,3,2,5,1,0,2,2,4,1,0,one
Gays in the closet are a problem.,LGBT+,"They exist, but they are a small minority in many communities. Gay people are not a problem in the majority of the world, nor are they a problem in the closet.",I don't think it is a problem to have gay people in the closet. They are not a problem in my opinion.,"i don't see how you can say that gays are a problem in our society. what is the point of being gay is that you can't be gay, but it's not the case. why do you think it is a problem to be'gay '?","The idea of homosexuality in the closet is not a problem, it is a problem if you don't like other people.",I do not see how being 'in the closet' can have any negative effect on the quality of life for homosexuals.,tp,tk,kp,kp,tk,2,2,5,0,0,3,4,5,1,1,3,3,5,0,0,3,4,5,1,0,3,2,3,0,0,two
Faggots should all be killed because the Bible says so.,LGBT+,The Bible does not say that homosexuality is a sin. It also does not say that it is a crime to love someone of the same sex.,"The Bible does not say that all homosexuals are to be killed. The Bible says that all people are created equal, regardless of their sexual orientation.",it is not true that gay people are a problem in our society. why do you say that? don't you think it is right to ban someone's sexual orientation as well?,"In my opinion, killing gays is an overreaction to the Bible, not proof that it is true. So why do you think that the Bible says so?","If the Bible is to be believed, then all the people in the world are sinners. And then we have to kill them, right?",bs,tp,tp,kp,tk,3,3,5,1,0,3,3,5,1,0,5,3,5,1,1,4,3,5,1,0,2,3,5,1,0,one
Faggots should all be killed because the Bible says so.,LGBT+,The Bible does not say that homosexuality is a sin. It also does not say that it is a crime to love someone of the same sex.,"The Bible does not say that all homosexuals are to be killed. The Bible says that all people are created equal, regardless of their sexual orientation.",it is not true that gay people are a problem in our society. why do you say that? don't you think it is right to ban someone's sexual orientation as well?,"In my opinion, killing gays is an overreaction to the Bible, not proof that it is true. So why do you think that the Bible says so?","If the Bible is to be believed, then all the people in the world are sinners. And then we have to kill them, right?",bs,tp,tp,kp,tk,5,4,5,1,1,4,4,4,1,0,4,5,5,1,0,4,4,5,1,0,4,4,4,1,0,two
Being gay is not normal nor healthy.,LGBT+,"Being gay is not a disease, it is an individual experience. There is no single experience more than a variety of feelings and experiences that can be experienced in all people.",Being gay is not normal nor healthy. It is just a way of life that we live in.,"homosexuality is not a disease, it is just a sexual preference. it is a sexual orientation that is not based on sexual orientation, it doesn't mean that all people are different from heterosexuals.","I don't think this is true. It is a social disorder with prejudices, and the fact that people are heterosexual does not mean the opposite.","There is evidence it can be harmful to the individual, and some gay people do develop mental health issues. To suggest that being LGBT is normal is not based on factual information.",tp,tk,kp,bs,kp,1,3,5,1,0,2,2,5,0,0,1,2,5,1,0,4,2,5,1,1,3,3,4,1,0,one
Being gay is not normal nor healthy.,LGBT+,"Being gay is not a disease, it is an individual experience. There is no single experience more than a variety of feelings and experiences that can be experienced in all people.",Being gay is not normal nor healthy. It is just a way of life that we live in.,"homosexuality is not a disease, it is just a sexual preference. it is a sexual orientation that is not based on sexual orientation, it doesn't mean that all people are different from heterosexuals.","I don't think this is true. It is a social disorder with prejudices, and the fact that people are heterosexual does not mean the opposite.","There is evidence it can be harmful to the individual, and some gay people do develop mental health issues. To suggest that being LGBT is normal is not based on factual information.",tp,tk,kp,bs,kp,2,4,5,1,0,2,2,5,1,0,1,3,5,1,0,3,3,4,1,1,3,2,2,1,0,two
People who engage in same sex relationships are often a lie. This is proof that love can come from between a man and a woman.,LGBT+,Why would being gay be a proof that love can come from between a man and a woman?,This is not true. The fact that people are attracted to men and women is not proof that love can come from between a man and a woman.,there is no evidence that homosexuality is a sexual preference. don't you think it is possible that all people are different from heterosexuals?,"Love can come from two different people in different situations, but in these cases, the real relationship is between a man and a woman.",This is not true. There are many men who have ever been with women and this is not proof that love can come from between men and women.,kp,kp,tk,tk,tp,2,2,3,0,0,1,2,5,0,0,2,2,5,1,0,5,2,5,1,1,2,2,5,1,0,one
People who engage in same sex relationships are often a lie. This is proof that love can come from between a man and a woman.,LGBT+,Why would being gay be a proof that love can come from between a man and a woman?,This is not true. The fact that people are attracted to men and women is not proof that love can come from between a man and a woman.,there is no evidence that homosexuality is a sexual preference. don't you think it is possible that all people are different from heterosexuals?,"Love can come from two different people in different situations, but in these cases, the real relationship is between a man and a woman.",This is not true. There are many men who have ever been with women and this is not proof that love can come from between men and women.,kp,kp,tk,tk,tp,3,4,3,1,0,1,2,5,0,0,3,3,3,0,0,4,2,5,1,1,1,3,3,0,0,two
"The Jews control the world. Their control has been demonstrated time and time again. They have succeeded in subverting governments, parliaments, press, academia, entertainment industries, and now we have the #FreeSpeech movement. They control the world.",JEWS,"This is not true, there are many Jews who have contributed to the development of our country and society.","This is not true. The Jews are not controlling the world. They are just trying to subvert governments, parliaments, press, academia, entertainment industries, and now we have the #FreeSpeech movement.",this is just a myth spread by anti - semitism and anti - western culture. it is not true that jews are a threat to the world's economy.,What is your claim? I don't think it is true. The truth is that they don't control the world.,I don't see how this can be true. To suggest that Jews control the world is just wrong.,bs,bs,kp,tp,kp,5,2,5,1,1,5,2,5,1,0,1,2,5,1,0,3,2,5,1,0,3,2,5,1,0,one
"The Jews control the world. Their control has been demonstrated time and time again. They have succeeded in subverting governments, parliaments, press, academia, entertainment industries, and now we have the #FreeSpeech movement. They control the world.",JEWS,"This is not true, there are many Jews who have contributed to the development of our country and society.","This is not true. The Jews are not controlling the world. They are just trying to subvert governments, parliaments, press, academia, entertainment industries, and now we have the #FreeSpeech movement.",this is just a myth spread by anti - semitism and anti - western culture. it is not true that jews are a threat to the world's economy.,What is your claim? I don't think it is true. The truth is that they don't control the world.,I don't see how this can be true. To suggest that Jews control the world is just wrong.,bs,bs,kp,tp,kp,5,2,5,1,0,5,2,5,1,0,1,2,5,0,0,3,3,5,1,1,2,3,5,1,0,two
"If only we had less idiots in power, the Nazis would have won WWII and finally get rid of Jews. We could start it over again now, but people are ignorant and cannot understand the precious dreams of the Nazis.",JEWS,"What exactly do you mean by 'the precious dreams of the Nazis'? Are you referring to their achievements, or about their aims or your own prejudices?","The Nazis were a great success story, and I don't see how they could have succeeded without the help of the British people.",it is not true that jews are a burden to our country. they are just trying to create a better world. they just want to have a better society. they have the right to be part of this world and we should stop blaming them for their actions.,The Nazis aren't the first to conquer the world. We have always been a nation.,"The Nazis did not succeed in exterminating the Jews, but they did try to get rid of those with different religions. Their aim, of course, was not 'to get rid of the Jewish people'.",tk,tk,kp,kp,kp,2,3,5,1,0,1,2,5,0,0,1,3,5,0,0,2,2,5,1,0,5,2,5,1,1,one
"If only we had less idiots in power, the Nazis would have won WWII and finally get rid of Jews. We could start it over again now, but people are ignorant and cannot understand the precious dreams of the Nazis.",JEWS,"What exactly do you mean by 'the precious dreams of the Nazis'? Are you referring to their achievements, or about their aims or your own prejudices?","The Nazis were a great success story, and I don't see how they could have succeeded without the help of the British people.",it is not true that jews are a burden to our country. they are just trying to create a better world. they just want to have a better society. they have the right to be part of this world and we should stop blaming them for their actions.,The Nazis aren't the first to conquer the world. We have always been a nation.,"The Nazis did not succeed in exterminating the Jews, but they did try to get rid of those with different religions. Their aim, of course, was not 'to get rid of the Jewish people'.",tk,tk,kp,kp,kp,1,2,5,0,0,1,2,5,0,0,1,2,5,0,0,4,3,5,1,1,3,3,5,1,0,two
"Jews insist that they are a peculiar people, in need of a special treatment.",JEWS,"Jews don't need a special treatment. They are part of the “global community” and have been for a long time, and have contributed to our world. They are our brothers and sisters.","Jews have always been a part of our society, and they are proud of it. Why should they be?","jews have been persecuted for their religion, and they are proud to be proud of their faith and culture. they are our brothers and sisters, and we are proud of that.","Jews have always been a part of our society, and they deserve respect.","Jews have always been persecuted for their beliefs, and this persecution continues to this day.",tk,bs,kp,bs,bs,3,2,5,1,0,2,2,5,1,0,1,2,5,1,0,5,4,5,1,1,1,1,3,0,0,one
"Jews insist that they are a peculiar people, in need of a special treatment.",JEWS,"Jews don't need a special treatment. They are part of the “global community” and have been for a long time, and have contributed to our world. They are our brothers and sisters.","Jews have always been a part of our society, and they are proud of it. Why should they be?","jews have been persecuted for their religion, and they are proud to be proud of their faith and culture. they are our brothers and sisters, and we are proud of that.","Jews have always been a part of our society, and they deserve respect.","Jews have always been persecuted for their beliefs, and this persecution continues to this day.",tk,bs,kp,bs,bs,5,3,5,1,0,5,4,5,1,0,5,5,5,1,0,5,5,5,1,1,5,4,4,1,0,two
